turn,step,phase,token_id,fisher_value
0,0,prefill_end,-1,1.5442785866991187
0,1,gen,96183,1.3702680493405923
0,2,gen,259,1.658546066515214
0,3,gen,3341,1.45900235963189
0,4,gen,525,1.398618512377173
0,5,gen,8881,1.5019686751326278
0,6,gen,553,1.4938582976911516
0,7,gen,279,1.6587604949979244
0,8,gen,69919,1.466159649745962
0,9,gen,6815,1.3696445091115197
0,10,gen,315,1.6016888593035745
0,11,gen,279,1.5054893109071996
0,12,gen,17788,1.5973926161468726
0,13,gen,323,1.6332263506193472
0,14,gen,279,1.7834960061581209
0,15,gen,7015,1.6179901896739077
0,16,gen,389,1.5607298210029161
0,17,gen,279,1.6226865668632973
0,18,gen,9237,1.4657758263421714
0,19,gen,594,1.5480962349860283
0,20,gen,53180,1.6825528155966543
0,21,gen,13,1.7233459350236735
0,22,gen,576,1.5936698658487283
0,23,gen,69919,1.6812609596195032
0,24,gen,5344,1.5801106857927583
0,25,gen,315,1.5300341885222017
0,26,gen,279,1.5021155095381755
0,27,gen,17788,1.4985256970597058
0,28,gen,323,1.3850804599895652
0,29,gen,7015,1.3736417660346116
0,30,gen,374,1.2591609976888947
0,31,gen,7046,1.355617139029614
0,32,gen,389,1.426604942039987
0,33,gen,279,1.6993937380938038
0,34,gen,3108,1.777582992590431
0,35,gen,315,1.520651580128296
0,36,gen,279,1.738346731734521
0,37,gen,9237,1.8237054273175501
0,38,gen,12880,1.6493090091918725
0,39,gen,1105,1.6596341083267356
0,40,gen,11,1.685209639255018
0,41,gen,892,1.270150598965242
0,42,gen,11450,1.3574289184848605
0,43,gen,264,1.4892539979502248
0,44,gen,7028,1.4390640550791323
0,45,gen,709,1.3785135564069775
0,46,gen,315,1.568977697981528
0,47,gen,3015,1.318414210588652
0,48,gen,389,1.1675738373298221
0,49,gen,429,1.2664088518341396
0,50,gen,3108,1.2633000323108556
0,51,gen,13,1.4328717142356435
0,52,gen,1096,1.3951185222635343
0,53,gen,11450,1.5141540914721765
0,54,gen,1378,1.401514860719639
0,55,gen,1550,1.6634865768808238
0,56,gen,259,1.6524573421697089
0,57,gen,3341,1.662899428779746
0,58,gen,323,1.7564388757218314
0,59,gen,1378,1.771123226022751
0,60,gen,3347,1.6626941573592837
0,61,gen,259,1.5313910677486706
0,62,gen,3341,1.6446984365393544
0,63,gen,1817,1.4515294084549502
0,64,gen,1899,1.5915708096541783
0,65,gen,13,1.6088600217840647
0,66,gen,576,1.3458146897476124
0,67,gen,8170,1.4371341674371827
0,68,gen,315,1.6572315018814272
0,69,gen,279,1.5702200876083672
0,70,gen,259,1.7177459211205703
0,71,gen,3341,1.6730309376269412
0,72,gen,374,1.5672746856811057
0,73,gen,1083,1.6726711425545095
0,74,gen,11495,1.7032843146371601
0,75,gen,553,1.651610146220671
0,76,gen,279,1.594185461002785
0,77,gen,6083,1.5643597705035153
0,78,gen,315,1.69953353400441
0,79,gen,279,1.8691911290371581
0,80,gen,9237,1.8994872085596555
0,81,gen,323,1.7524681750239306
0,82,gen,279,1.8024439704424027
0,83,gen,6010,1.705904959646409
0,84,gen,1948,1.67366366531791
0,85,gen,279,1.662335268996374
0,86,gen,9237,1.466297147400839
0,87,gen,323,1.3333422531906567
0,88,gen,279,1.4281857709631913
0,89,gen,17330,1.4767578948460818
0,90,gen,13,1.615809812929123
0,91,gen,151645,1.7332344178687293
1,92,prefill_end,-1,1.6938983416828473
1,93,gen,785,1.5207060787524675
1,94,gen,8059,1.643132992889271
1,95,gen,1558,1.6856638971840088
1,96,gen,16792,1.726948241413396
1,97,gen,311,1.635320778560481
1,98,gen,279,1.5233104841535665
1,99,gen,259,1.4702328874270891
1,100,gen,3341,1.7387845554507273
1,101,gen,11,1.7199140921929346
1,102,gen,714,1.5905729156230148
1,103,gen,1181,1.3154042792643919
1,104,gen,2456,1.3462664805619753
1,105,gen,374,1.4490046990305716
1,106,gen,2686,1.4606731220216254
1,107,gen,1091,1.4056241846980717
1,108,gen,429,1.4047563181407483
1,109,gen,315,1.4112875414632942
1,110,gen,279,1.4432339910647194
1,111,gen,17330,1.565661887586496
1,112,gen,13,1.692926130926288
1,113,gen,5976,1.690570343629638
1,114,gen,279,1.7234709627159734
1,115,gen,17330,1.461258701009474
1,116,gen,594,1.305529156557411
1,117,gen,69919,1.4261455512332846
1,118,gen,6815,1.4487655111931146
1,119,gen,374,1.4848257110739433
1,120,gen,279,1.5236711466509083
1,121,gen,6028,1.2733170357902694
1,122,gen,5240,1.3370952744164954
1,123,gen,315,1.6744663559629114
1,124,gen,259,1.7765360089386073
1,125,gen,3341,1.4674447609708685
1,126,gen,11,1.5618029609901378
1,127,gen,279,1.6412220966318591
1,128,gen,8059,1.535596473140757
1,129,gen,594,1.5709257638539884
1,130,gen,69919,1.5286536738730654
1,131,gen,6815,1.3709394474598264
1,132,gen,1083,1.3140569374716764
1,133,gen,21501,1.3159790638263236
1,134,gen,279,1.4989000879523808
1,135,gen,9237,1.562139013078837
1,136,gen,594,1.521473840347053
1,137,gen,53180,1.4482625200098418
1,138,gen,11,1.6170495932736269
1,139,gen,28720,1.5821305410220206
1,140,gen,311,1.2586014130918686
1,141,gen,279,1.3675628521881011
1,142,gen,8084,1.4872981093900726
1,143,gen,85459,1.3806240693203071
1,144,gen,5344,1.6151952792880822
1,145,gen,13,1.5249734017089247
1,146,gen,576,1.3159660521722785
1,147,gen,8059,1.3451338339145846
1,148,gen,594,1.5285874699787383
1,149,gen,69919,1.5973483365505854
1,150,gen,6815,1.6304377044491896
