mode,regime,run_id,step,token,entropy,fisher_trace
baseline,mathematical,mathematical_r1,0,Certainly,1.64890325,
baseline,mathematical,mathematical_r1,1,!,0.00485210,
baseline,mathematical,mathematical_r1,2, The,1.34238962,
baseline,mathematical,mathematical_r1,3, quadratic,0.10250739,
baseline,mathematical,mathematical_r1,4, formula,0.12672920,
baseline,mathematical,mathematical_r1,5, is,0.52977188,
baseline,mathematical,mathematical_r1,6, derived,0.90157289,
baseline,mathematical,mathematical_r1,7, from,0.37129820,
baseline,mathematical,mathematical_r1,8, solving,0.88286271,
baseline,mathematical,mathematical_r1,9, the,0.89818111,
baseline,mathematical,mathematical_r1,10, standard,1.11916991,
baseline,mathematical,mathematical_r1,11, form,0.61600659,
baseline,mathematical,mathematical_r1,12, of,0.14960992,
baseline,mathematical,mathematical_r1,13, a,0.05435349,
baseline,mathematical,mathematical_r1,14, quadratic,0.00314774,
baseline,mathematical,mathematical_r1,15, equation,0.00072514,
baseline,mathematical,mathematical_r1,16,":

",1.03056481,
baseline,mathematical,mathematical_r1,17,\[,0.59004868,
baseline,mathematical,mathematical_r1,18, ax,0.15696496,
baseline,mathematical,mathematical_r1,19,^,0.00133929,
baseline,mathematical,mathematical_r1,20,2,0.00003512,
baseline,mathematical,mathematical_r1,21, +,0.00061689,
baseline,mathematical,mathematical_r1,22, bx,0.00016212,
baseline,mathematical,mathematical_r1,23, +,0.00037292,
baseline,mathematical,mathematical_r1,24, c,0.00010887,
baseline,mathematical,mathematical_r1,25, =,0.00028080,
baseline,mathematical,mathematical_r1,26, ,0.00003260,
baseline,mathematical,mathematical_r1,27,0,0.00000840,
baseline,mathematical,mathematical_r1,28, \,0.02822726,
baseline,mathematical,mathematical_r1,29,"]

",0.01624961,
baseline,mathematical,mathematical_r1,30,Here,1.32306780,
baseline,mathematical,mathematical_r1,31,'s,1.36478677,395.18003157
