step,token,entropy,fisher_trace,temperature,top_p,action
0,Br,2.12582511,,0.6000,0.9200,hold
1,ussels,0.00592334,,0.6000,0.9200,hold
2,"  
",0.98834218,,0.6000,0.9200,hold
3,Vi,1.23682915,,0.6000,0.9200,hold
4,enna,0.00000670,,0.6000,0.9200,hold
5,"  
",0.01094237,,0.6000,0.9200,hold
6,R,2.21367363,,0.6000,0.9200,hold
7,ome,0.18325469,,0.6000,0.9200,hold
8,"  
",0.01476569,,0.6000,0.9200,hold
9,Berlin,1.94366984,,0.6000,0.9200,hold
10,"  
",0.02199615,,0.6000,0.9200,hold
11,Mad,0.78744217,,0.6000,0.9200,hold
12,rid,0.00086532,,0.6000,0.9200,hold
13,"  
",0.02454290,,0.6000,0.9200,hold
14,Paris,0.95540443,,0.6000,0.9200,hold
15,"  
",0.04999323,,0.6000,0.9200,hold
16,Am,2.02208904,,0.6000,0.9200,hold
17,sterdam,0.00055397,,0.6000,0.9200,hold
18,"  
",0.03047720,,0.6000,0.9200,hold
19,Pr,2.37979900,,0.6000,0.9200,hold
20,ague,0.00377974,,0.6000,0.9200,hold
21,"  
",0.03057684,,0.6000,0.9200,hold
22,Wars,1.34313053,,0.6000,0.9200,hold
23,aw,0.00003725,,0.6000,0.9200,hold
24,"  
",0.02274215,,0.6000,0.9200,hold
25,B,2.33838725,,0.6000,0.9200,hold
26,uch,0.60561416,,0.6000,0.9200,hold
27,arest,0.00132544,,0.6000,0.9200,hold
28,"  
",0.11675227,,0.6000,0.9200,hold
29,Dub,2.50891334,,0.6000,0.9200,hold
30,lin,0.00027485,,0.6000,0.9200,hold
31,"  
",0.15132547,425.05205563,0.5200,0.8800,focus_down
