mode,regime,run_id,step,token,entropy,fisher_trace
baseline,philosophical,philosophical_r1,0,The,0.64808300,
baseline,philosophical,philosophical_r1,1, question,0.70532216,
baseline,philosophical,philosophical_r1,2, of,0.06865866,
baseline,philosophical,philosophical_r1,3, whether,0.01430355,
baseline,philosophical,philosophical_r1,4, moral,0.00240260,
baseline,philosophical,philosophical_r1,5, truth,0.02339648,
baseline,philosophical,philosophical_r1,6, is,0.00086038,
baseline,philosophical,philosophical_r1,7, objective,0.00549847,5931080.84773787
baseline,philosophical,philosophical_r1,8, touches,0.43337247,7142889.00008714
baseline,philosophical,philosophical_r1,9, on,0.83015429,6000063.99931535
baseline,philosophical,philosophical_r1,10, one,1.64401718,6000054.66627717
baseline,philosophical,philosophical_r1,11, of,0.00021132,6687539.15429214
baseline,philosophical,philosophical_r1,12, the,0.07198800,7142889.00008714
baseline,philosophical,philosophical_r1,13, most,0.90096113,7142889.00008714
baseline,philosophical,philosophical_r1,14, fundamental,1.28735698,7777799.71129623
baseline,philosophical,philosophical_r1,15, and,0.90964695,7179518.95799372
