step,token,entropy,fisher_trace,temperature,top_p,action
0,The,0.64808300,,0.6000,0.9200,hold
1, question,0.70532216,,0.6000,0.9200,hold
2, of,0.06865866,,0.6000,0.9200,hold
3, whether,0.01430355,,0.6000,0.9200,hold
4, moral,0.00240260,,0.6000,0.9200,hold
5, truth,0.02339648,,0.6000,0.9200,hold
6, is,0.00086038,,0.6000,0.9200,hold
7, objective,0.00549847,5931080.84773787,0.5200,0.8800,focus_down
8, touches,0.43337247,7142889.00008714,0.5200,0.8800,hold
9, on,0.83015429,6000063.99931535,0.5200,0.8800,hold
10, one,1.64401718,6000054.66627717,0.5200,0.8800,hold
11, of,0.00021132,6687539.15429214,0.5200,0.8800,hold
12, the,0.07198800,7142889.00008714,0.5200,0.8800,hold
13, most,0.90096113,7142889.00008714,0.5200,0.8800,hold
14, fundamental,1.28735698,7777799.71129623,0.5200,0.8800,hold
15, and,0.90964695,7179518.95799372,0.5200,0.8800,hold
