step,token,entropy,fisher_trace,temperature,top_p,action
0,Certainly,1.64890325,,0.6000,0.9200,hold
1,!,0.00485210,,0.6000,0.9200,hold
2, The,1.34238962,,0.6000,0.9200,hold
3, quadratic,0.10250739,,0.6000,0.9200,hold
4, formula,0.12672920,,0.6000,0.9200,hold
5, is,0.52977188,,0.6000,0.9200,hold
6, derived,0.90157289,,0.6000,0.9200,hold
7, from,0.37129820,6000082.19848509,0.6000,0.9200,hold
8, solving,0.88286271,7533365.38892915,0.6000,0.9200,hold
9, the,0.89818111,6400037.72003722,0.6000,0.9200,hold
10, standard,1.11916991,6000045.33328256,0.6000,0.9200,hold
11, form,0.61600659,6611147.02936810,0.6000,0.9200,hold
12, of,0.14960992,6888922.35811093,0.6000,0.9200,hold
13, a,0.05435349,6000073.33161314,0.6000,0.9200,hold
14, quadratic,0.00314774,7542884.17725118,0.6000,0.9200,hold
15, equation,0.00072514,7153885.03843375,0.6000,0.9200,hold
