step,token,entropy,fisher_trace,temperature,top_p,action
0,Mer,0.71478402,,0.6000,0.9200,hold
1,cury,0.00002809,,0.6000,0.9200,hold
2,",",0.11068349,,0.6000,0.9200,hold
3, Venus,0.00072180,,0.6000,0.9200,hold
4,",",0.00003444,,0.6000,0.9200,hold
5, Earth,0.00039731,,0.6000,0.9200,hold
6,",",0.00010972,,0.6000,0.9200,hold
7, Mars,0.00180221,5187553.13661033,0.5200,0.8800,focus_down
8,",",0.00122318,6111151.19138803,0.5200,0.8800,hold
9, Jupiter,0.00056922,5962303.73980257,0.5200,0.8800,hold
10,",",0.00006897,9500013.43768777,0.5200,0.8800,hold
11, Saturn,0.00009706,5925978.00672648,0.5200,0.8800,hold
12,",",0.00007345,5280055.45746300,0.5200,0.8800,hold
13, Uran,0.00057853,5931080.84773786,0.5200,0.8800,hold
14,us,0.00000625,5642906.73205420,0.5200,0.8800,hold
15,",",0.00059823,6000043.00000600,0.5200,0.8800,hold
