step,token,entropy,fisher_trace,temperature,top_p,action
0,In,1.25733370,,0.6000,0.9200,hold
1, the,0.42940480,,0.6000,0.9200,hold
2, quiet,1.30684278,,0.6000,0.9200,hold
3, embrace,2.13956054,,0.6000,0.9200,hold
4, of,0.00132902,,0.6000,0.9200,hold
5, dawn,1.66123207,,0.6000,0.9200,hold
6,'s,0.67944601,,0.6000,0.9200,hold
7, first,1.05424322,8285735.00016829,0.6000,0.9200,hold
8, blush,1.60788187,7951243.13818372,0.6000,0.9200,hold
9,",",0.23193352,8000020.46685276,0.6000,0.9200,hold
10, a,1.96605666,8285735.00016828,0.6000,0.9200,hold
11, lone,1.21757578,8222241.96810895,0.6000,0.9200,hold
12, figure,0.63218522,7846176.27828099,0.6000,0.9200,hold
13, stands,1.67245104,7846176.27828099,0.6000,0.9200,hold
14, at,2.27288909,8857162.71446200,0.6000,0.9200,hold
15, the,0.02239889,8181837.75720659,0.6400,0.9400,explore_up
