step,token,entropy,fisher_trace,temperature,top_p,action
0,Br,2.12582511,,0.6000,0.9200,hold
1,ussels,0.00592334,,0.6000,0.9200,hold
2,"  
",0.98834218,,0.6000,0.9200,hold
3,Vi,1.23682915,,0.6000,0.9200,hold
4,enna,0.00000670,,0.6000,0.9200,hold
5,"  
",0.01094237,,0.6000,0.9200,hold
6,R,2.21367363,,0.6000,0.9200,hold
7,ome,0.18325469,7600023.70418009,0.6000,0.9200,hold
8,"  
",0.01476569,6000082.66486907,0.6000,0.9200,hold
9,Berlin,1.94366984,8500020.73768186,0.6000,0.9200,hold
10,"  
",0.02199615,8000027.05568511,0.6000,0.9200,hold
11,Mad,0.78744217,7485749.91431386,0.6000,0.9200,hold
12,rid,0.00086532,6969737.58585273,0.6000,0.9200,hold
13,"  
",0.02454290,6888920.05360299,0.6000,0.9200,hold
14,Paris,0.95540443,6727305.78246432,0.6000,0.9200,hold
15,"  
",0.04999323,7142889.00008714,0.6000,0.9200,hold
