step,token,entropy,fisher_trace,temperature,top_p,action
0,In,2.21332214,,0.6000,0.9200,hold
1, the,0.87923630,,0.6000,0.9200,hold
2, perpetual,2.28674424,,0.6000,0.9200,hold
3, twilight,0.53754068,,0.6000,0.9200,hold
4, of,1.86803204,,0.6000,0.9200,hold
5, this,1.19054841,,0.6000,0.9200,hold
6, en,1.44476427,,0.6000,0.9200,hold
7,igmatic,0.10625114,6960040.49758160,0.5200,0.8800,focus_down
8, place,0.51848827,8181836.09110799,0.5200,0.8800,hold
9,",",0.00750430,6000073.79914586,0.5200,0.8800,hold
10, shadows,1.25600358,6888931.26331050,0.5200,0.8800,hold
11, play,1.90058105,8285735.00016828,0.5200,0.8800,hold
12, tricks,1.95068680,6000149.39231879,0.5200,0.8800,hold
13, on,1.28923119,8666679.00029800,0.5200,0.8800,hold
14, the,0.68320139,8000022.80013694,0.5200,0.8800,hold
15, senses,1.91196067,8000021.63350587,0.5200,0.8800,hold
