mode,regime,run_id,step,token,entropy,fisher_trace
baseline,factual,factual_r0,0,Br,2.12582511,
baseline,factual,factual_r0,1,ussels,0.00592334,
baseline,factual,factual_r0,2,"  
",0.98834218,
baseline,factual,factual_r0,3,Vi,1.23682915,
baseline,factual,factual_r0,4,enna,0.00000670,
baseline,factual,factual_r0,5,"  
",0.01094237,
baseline,factual,factual_r0,6,R,2.21367363,
baseline,factual,factual_r0,7,ome,0.18325469,7600023.70418009
baseline,factual,factual_r0,8,"  
",0.01476569,6000082.66486907
baseline,factual,factual_r0,9,Berlin,1.94366984,8500020.73768186
baseline,factual,factual_r0,10,"  
",0.02199615,8000027.05568511
baseline,factual,factual_r0,11,Mad,0.78744217,7485749.91431386
baseline,factual,factual_r0,12,rid,0.00086532,6969737.58585273
baseline,factual,factual_r0,13,"  
",0.02454290,6888920.05360299
baseline,factual,factual_r0,14,Paris,0.95540443,6727305.78246432
baseline,factual,factual_r0,15,"  
",0.04999323,7142889.00008714
