step,token,entropy,fisher_trace,temperature,top_p,action
0,The,1.25127405,,0.6000,0.9200,hold
1, nature,0.52777989,,0.6000,0.9200,hold
2, of,0.00227822,,0.6000,0.9200,hold
3, time,0.00056946,,0.6000,0.9200,hold
4, is,0.29207159,,0.6000,0.9200,hold
5, one,0.68079753,,0.6000,0.9200,hold
6, of,0.00030144,,0.6000,0.9200,hold
7, the,0.04494405,7000031.35426153,0.6000,0.9200,hold
8, most,0.28981692,6400037.72003722,0.6000,0.9200,hold
9, fundamental,0.91169843,8000016.50025422,0.6000,0.9200,hold
10, and,0.57307084,8060634.76595137,0.6000,0.9200,hold
11, mysterious,2.31137811,8000021.05018187,0.6000,0.9200,hold
12, aspects,0.75007344,7206380.18878788,0.6000,0.9200,hold
13, of,0.00894179,9333350.42239089,0.6000,0.9200,hold
14, our,0.67898372,8000021.40017558,0.6000,0.9200,hold
15, universe,0.53537907,7352969.53816712,0.6000,0.9200,hold
