mode,regime,run_id,step,token,entropy,fisher_trace
baseline,philosophical,philosophical_r1,0,The,0.64808300,
baseline,philosophical,philosophical_r1,1, question,0.70532216,
baseline,philosophical,philosophical_r1,2, of,0.06865866,
baseline,philosophical,philosophical_r1,3, whether,0.01430355,
baseline,philosophical,philosophical_r1,4, moral,0.00240260,
baseline,philosophical,philosophical_r1,5, truth,0.02339648,
baseline,philosophical,philosophical_r1,6, is,0.00086038,
baseline,philosophical,philosophical_r1,7, objective,0.00549847,
baseline,philosophical,philosophical_r1,8, touches,0.43337247,
baseline,philosophical,philosophical_r1,9, on,0.83015429,
baseline,philosophical,philosophical_r1,10, one,1.64401718,
baseline,philosophical,philosophical_r1,11, of,0.00021132,
baseline,philosophical,philosophical_r1,12, the,0.07198800,
baseline,philosophical,philosophical_r1,13, most,0.90096113,
baseline,philosophical,philosophical_r1,14, fundamental,1.28735698,
baseline,philosophical,philosophical_r1,15, and,0.90964695,
baseline,philosophical,philosophical_r1,16, contentious,1.90600170,
baseline,philosophical,philosophical_r1,17, issues,1.34282676,
baseline,philosophical,philosophical_r1,18, in,0.00444702,
baseline,philosophical,philosophical_r1,19, philosophy,0.89525372,
baseline,philosophical,philosophical_r1,20,.,0.76625459,
baseline,philosophical,philosophical_r1,21, There,2.44253168,
baseline,philosophical,philosophical_r1,22, are,0.09585026,
baseline,philosophical,philosophical_r1,23, several,1.63728394,
baseline,philosophical,philosophical_r1,24, perspectives,1.79147047,
baseline,philosophical,philosophical_r1,25, that,1.53200447,
baseline,philosophical,philosophical_r1,26, can,1.05950659,
baseline,philosophical,philosophical_r1,27, be,0.56062136,
baseline,philosophical,philosophical_r1,28, explored,1.06207452,
baseline,philosophical,philosophical_r1,29, to,1.70549879,
baseline,philosophical,philosophical_r1,30, understand,1.67313119,
baseline,philosophical,philosophical_r1,31, this,1.38179320,339.52089424
