step,token,entropy,fisher_trace,temperature,top_p,action
0,In,2.21332214,,0.6000,0.9200,hold
1, the,0.87923630,,0.6000,0.9200,hold
2, perpetual,2.28674424,,0.6000,0.9200,hold
3, twilight,0.53754068,,0.6000,0.9200,hold
4, of,1.86803204,,0.6000,0.9200,hold
5, this,1.19054841,,0.6000,0.9200,hold
6, en,1.44476427,,0.6000,0.9200,hold
7,igmatic,0.10625114,,0.6000,0.9200,hold
8, place,0.51848827,,0.6000,0.9200,hold
9,",",0.00750430,,0.6000,0.9200,hold
10, shadows,1.25600358,,0.6000,0.9200,hold
11, play,1.90058105,,0.6000,0.9200,hold
12, tricks,1.95068680,,0.6000,0.9200,hold
13, on,1.28923119,,0.6000,0.9200,hold
14, the,0.68320139,,0.6000,0.9200,hold
15, senses,1.91196067,,0.6000,0.9200,hold
16,",",0.64847302,,0.6000,0.9200,hold
17, painting,2.43957363,,0.6000,0.9200,hold
18, everything,1.23541486,,0.6000,0.9200,hold
19, in,0.28288731,,0.6000,0.9200,hold
20, soft,0.89821808,,0.6000,0.9200,hold
21,",",0.53051960,,0.6000,0.9200,hold
22, diff,1.93520459,,0.6000,0.9200,hold
23,used,0.03718492,,0.6000,0.9200,hold
24, hues,0.41306167,,0.6000,0.9200,hold
25,.,1.13147142,,0.6000,0.9200,hold
26, The,0.68256043,,0.6000,0.9200,hold
27, air,1.93710362,,0.6000,0.9200,hold
28, is,0.58512249,,0.6000,0.9200,hold
29, thick,1.33292206,,0.6000,0.9200,hold
30, with,0.13192172,,0.6000,0.9200,hold
31, a,1.37525331,387.65780573,0.6000,0.9200,hold
