mode,regime,run_id,step,token,entropy,fisher_trace
baseline,mathematical,mathematical_r0,0,To,0.37158872,
baseline,mathematical,mathematical_r0,1, prove,0.06831439,
baseline,mathematical,mathematical_r0,2, that,0.02657700,
baseline,mathematical,mathematical_r0,3, the,0.23346723,
baseline,mathematical,mathematical_r0,4, square,0.00515087,
baseline,mathematical,mathematical_r0,5, root,0.00026891,
baseline,mathematical,mathematical_r0,6, of,0.00026670,
baseline,mathematical,mathematical_r0,7, ,0.05584051,
baseline,mathematical,mathematical_r0,8,2,0.00001403,
baseline,mathematical,mathematical_r0,9, (\,0.67508658,
baseline,mathematical,mathematical_r0,10,(\,0.20976091,
baseline,mathematical,mathematical_r0,11,sqrt,0.00216307,
baseline,mathematical,mathematical_r0,12,{,0.00196332,
baseline,mathematical,mathematical_r0,13,2,0.00008132,
baseline,mathematical,mathematical_r0,14,}\,0.00013760,
baseline,mathematical,mathematical_r0,15,)),0.00170227,
baseline,mathematical,mathematical_r0,16, is,0.00013944,
baseline,mathematical,mathematical_r0,17, irrational,0.04184710,
baseline,mathematical,mathematical_r0,18,",",0.04486549,
baseline,mathematical,mathematical_r0,19, we,0.07245372,
baseline,mathematical,mathematical_r0,20, will,1.19878630,
baseline,mathematical,mathematical_r0,21, use,0.34764059,
baseline,mathematical,mathematical_r0,22, a,0.48977858,
baseline,mathematical,mathematical_r0,23, proof,0.75299860,
baseline,mathematical,mathematical_r0,24, by,0.06269386,
baseline,mathematical,mathematical_r0,25, contradiction,0.00793925,
baseline,mathematical,mathematical_r0,26,.,0.45418233,
baseline,mathematical,mathematical_r0,27, This,1.26316168,
baseline,mathematical,mathematical_r0,28, means,1.03668388,
baseline,mathematical,mathematical_r0,29, we,0.33431784,
baseline,mathematical,mathematical_r0,30, assume,0.97861006,
baseline,mathematical,mathematical_r0,31, the,0.46113588,345.93585109
