step,token,entropy,fisher_trace,temperature,top_p,action
0,Certainly,1.64890325,,0.6000,0.9200,hold
1,!,0.00485210,,0.6000,0.9200,hold
2, The,1.34238962,,0.6000,0.9200,hold
3, quadratic,0.10250739,,0.6000,0.9200,hold
4, formula,0.12672920,,0.6000,0.9200,hold
5, is,0.52977188,,0.6000,0.9200,hold
6, derived,0.90157289,,0.6000,0.9200,hold
7, from,0.37129820,,0.6000,0.9200,hold
8, solving,0.88286271,,0.6000,0.9200,hold
9, the,0.89818111,,0.6000,0.9200,hold
10, standard,1.11916991,,0.6000,0.9200,hold
11, form,0.61600659,,0.6000,0.9200,hold
12, of,0.14960992,,0.6000,0.9200,hold
13, a,0.05435349,,0.6000,0.9200,hold
14, quadratic,0.00314774,,0.6000,0.9200,hold
15, equation,0.00072514,,0.6000,0.9200,hold
16,":

",1.03056481,,0.6000,0.9200,hold
17,\[,0.59004868,,0.6000,0.9200,hold
18, ax,0.15696496,,0.6000,0.9200,hold
19,^,0.00133929,,0.6000,0.9200,hold
20,2,0.00003512,,0.6000,0.9200,hold
21, +,0.00061689,,0.6000,0.9200,hold
22, bx,0.00016212,,0.6000,0.9200,hold
23, +,0.00037292,,0.6000,0.9200,hold
24, c,0.00010887,,0.6000,0.9200,hold
25, =,0.00028080,,0.6000,0.9200,hold
26, ,0.00003260,,0.6000,0.9200,hold
27,0,0.00000840,,0.6000,0.9200,hold
28, \,0.02822726,,0.6000,0.9200,hold
29,"]

",0.01624961,,0.6000,0.9200,hold
30,Here,1.32306780,,0.6000,0.9200,hold
31,'s,1.36478677,395.18003157,0.6000,0.9200,hold
