step,entropy
0,0.00243116
1,0.00236183
2,0.00468107
3,0.00143424
4,0.00201337
5,0.00378682
6,0.00355165
7,0.00358141
8,0.00109558
9,0.00938088
10,0.00384348
11,0.00184652
12,0.01374482
13,0.00153579
14,0.00760860
15,0.00231849
16,0.00169503
17,0.00206965
18,0.00361458
19,0.00114152
20,0.00192995
21,0.00118062
22,0.00150303
23,0.00218471
24,0.00071066
25,0.00407475
26,0.00181590
27,0.00169740
28,0.00092524
29,0.00116914
30,0.00196177
31,0.00727885
32,0.00004441
33,0.00188162
34,0.00240233
35,0.14099055
36,0.00227577
37,0.00478421
38,0.00249971
39,0.00166860
40,0.00214473
41,0.00364094
42,0.00266187
43,0.01732896
44,0.51270606
45,0.00294892
46,0.00774189
47,0.00431650
48,0.00176747
49,0.00308151
50,0.00269479
51,0.00240322
52,1.47997338
53,0.00090424
54,0.00489382
55,0.43549899
56,0.00439038
57,0.00161076
58,0.00284366
59,0.00207908
60,0.00137733
61,0.00158377
62,0.00753858
63,0.00115604
64,0.00176072
65,0.00288211
66,0.00148635
67,0.00311254
68,0.00293405
69,0.00198913
70,0.00194682
71,0.00513579
72,0.01359717
73,0.00203006
74,0.00712634
75,0.00152308
76,0.01884524
77,0.00448052
78,0.00403513
79,0.00280546
80,0.00608956
81,0.00255466
82,0.00554001
83,0.00272675
84,0.00052710
85,0.00283219
86,0.00178295
87,0.00100053
88,0.00206974
89,0.01053300
90,0.00208902
91,0.00064571
92,0.00367048
93,0.00190086
94,0.00180126
95,0.00154616
96,0.10987324
97,0.00173436
98,0.00068475
99,0.00180723
100,0.00137440
101,0.00494467
102,0.00109811
103,0.01301868
104,0.00187836
105,0.00058708
106,0.02155688
107,0.00297955
108,0.00212734
109,0.00198526
110,0.00171988
111,0.00354049
112,0.00194625
113,0.00256454
114,0.00112664
115,0.00085263
116,0.00078500
117,0.00844196
118,0.01885182
119,0.81482446
120,0.00180770
121,0.00266214
122,0.00229925
123,0.00370281
124,1.98561643
125,0.01686141
126,0.00148293
127,0.00183577
128,0.00122458
129,0.00248228
130,0.00188424
131,0.00236373
132,0.00093989
133,0.00242086
134,0.89242873
135,0.00274764
136,0.01055205
137,0.00274448
138,0.00350839
139,0.00581165
140,0.00193448
141,0.00222519
142,0.00043325
143,0.00124274
144,0.00213971
145,0.00124210
146,0.00183907
147,0.00393578
148,0.00229031
149,0.00282328
150,0.00111841
151,0.00137535
152,0.00157895
153,0.00191910
154,0.00187381
155,0.00366038
156,0.00176937
157,0.00098904
158,0.00294196
159,0.00164100
160,0.00570317
161,0.00744296
162,0.00143031
163,0.00269556
164,0.00700887
165,0.00931207
166,0.00157050
167,0.00343261
168,0.00372231
169,0.00183281
170,0.02051527
171,0.00099426
172,0.00086239
173,0.00414956
174,0.00203839
175,0.00074331
176,0.00217655
177,0.00197479
178,0.00217109
179,0.00192572
180,0.01513350
181,0.00429888
182,0.00350730
183,0.00107980
184,0.00249433
185,0.01662340
186,0.00767197
187,0.00176927
188,0.00349616
189,0.00372364
190,0.01280532
191,0.00324401
192,0.00266595
193,0.10690298
194,0.00393670
195,0.00114991
196,0.00273975
197,0.00558829
198,0.00202105
199,0.00768632
200,0.00213277
201,0.00311738
202,0.00669666
203,0.02523090
204,0.01671457
205,0.00416737
206,0.00186729
207,0.00401401
208,0.00148709
209,0.00137530
210,0.00173942
211,0.00094798
212,0.00143445
213,0.00098270
214,0.00193350
215,0.00281176
216,0.00146117
217,0.00217744
218,0.00148468
219,0.00272473
220,0.00181921
221,0.00175068
222,0.00349080
223,0.02502396
